,Open,High,Low,Close,Volume
2026-01-05,155.0,156.6380358833536,153.3619641166464,155.0,64468785.0
2026-01-06,155.0,155.14520498176398,154.03900052421295,154.59210275298847,66669427.0
2026-01-07,154.59210275298847,152.84160164935142,152.4403310139721,152.64096633166176,37642494.0
2026-01-08,152.64096633166176,157.6286874850403,154.89040423756035,156.25954586130032,77460974.0
2026-01-09,156.25954586130032,159.97235961939865,154.23815650618204,157.10525806279034,39416206.0
2026-01-12,157.10525806279034,158.81970846529794,158.7894546698201,158.804581567559,22411011.0
2026-01-13,158.804581567559,166.5944393308887,159.61878948415193,163.1066144075203,56659450.0
2026-01-14,163.1066144075203,168.55910791822487,162.68697277855262,165.62304034838874,22176968.0
2026-01-15,165.62304034838874,165.24396971406102,159.8264126155477,162.53519116480436,5800986.0
2026-01-16,162.53519116480436,167.41402335991253,165.41880014222258,166.41641175106756,40887321.0
2026-01-19,166.41641175106756,172.19909433727804,169.04013337476982,170.61961385602393,46761947.0
2026-01-20,170.61961385602393,168.7025549014016,168.55570020074973,168.62912755107567,69113002.0
2026-01-21,168.62912755107567,167.64087827440426,167.07070299042738,167.35579063241582,56495608.0
2026-01-22,167.35579063241582,165.62264618106664,164.92219964874485,165.27242291490575,63957160.0
2026-01-23,165.27242291490575,166.7895020241501,163.57821111665575,165.18385657040292,59413553.0
2026-01-26,165.18385657040292,162.58006550616835,158.0300244383306,160.30504497224948,72972908.0
2026-01-27,160.30504497224948,157.26419800422812,154.31684946612015,155.79052373517413,52553200.0
2026-01-28,155.79052373517413,155.40519780053958,153.69636832449024,154.5507830625149,27209588.0
2026-01-29,154.5507830625149,154.5973388093562,152.21498627062505,153.40616253999062,12608790.0
2026-01-30,153.40616253999062,149.33484965832685,149.3264360190209,149.33064283867387,24640051.0
2026-02-02,149.33064283867387,146.43934002335047,145.14121220292444,145.79027611313745,61036718.0
2026-02-03,145.79027611313745,149.58159504167594,149.02352208889874,149.30255856528734,54488928.0
2026-02-04,149.30255856528734,147.9061103049706,143.80723384033823,145.85667207265442,69917165.0
2026-02-05,145.85667207265442,150.73250347405263,148.6546817165281,149.69359259529037,64900522.0
2026-02-06,149.69359259529037,149.39141948160741,148.19627426037235,148.79384687098988,23123873.0
2026-02-09,148.79384687098988,147.7994568113743,146.51231669914986,147.1558867552621,2112935.0
2026-02-10,147.1558867552621,145.64047264872383,145.47410094512972,145.55728679692677,49720650.0
2026-02-11,145.55728679692677,143.7787535317999,143.0479269935762,143.41334026268805,62058562.0
2026-02-12,143.41334026268805,147.1944031162255,146.07789662709558,146.63614987166054,57756089.0
2026-02-13,146.63614987166054,149.51879633514366,145.61903072575618,147.56891353044992,16369952.0
2026-02-16,147.56891353044992,150.07585004615663,149.733900075331,149.90487506074382,73389514.0
2026-02-17,149.90487506074382,148.93049952428575,146.78902555465194,147.85976253946885,6523535.0
2026-02-18,147.85976253946885,145.3018178549652,144.4956080376036,144.8987129462844,62089647.0
2026-02-19,144.8987129462844,149.65622863976606,146.76787750593397,148.21205307285,44796369.0
2026-02-20,148.21205307285,147.13844496530862,144.91901003378575,146.0287274995472,37580542.0
2026-02-23,146.0287274995472,151.59901083615895,147.705541597909,149.65227621703397,47027602.0
2026-02-24,149.65227621703397,151.98602007726365,151.23706426184904,151.61154216955634,10825150.0
2026-02-25,151.61154216955634,159.53871462949766,157.66750809364586,158.60311136157176,57851596.0
2026-02-26,158.60311136157176,153.91389999040618,152.3592187369367,153.13655936367144,25706103.0
2026-02-27,153.13655936367144,151.38970305201607,150.74463005494474,151.0671665534804,56898349.0
2026-03-02,151.0671665534804,156.03521555239195,154.5026341913902,155.26892487189107,60458981.0
2026-03-03,155.26892487189107,156.9593649490682,153.1511642384166,155.0552645937424,16418934.0
2026-03-04,155.0552645937424,155.15881199973802,153.45589400896284,154.30735300435043,46005127.0
2026-03-05,154.30735300435043,153.46486409673767,152.4289094000753,152.94688674840648,27592498.0
2026-03-06,152.94688674840648,153.63055980803153,151.58496556737782,152.60776268770468,64348360.0
2026-03-09,152.60776268770468,150.37518062361778,148.3602264525976,149.3677035381077,32416728.0
2026-03-10,149.3677035381077,147.46575721431574,146.17264507436127,146.8192011443385,40685536.0
2026-03-11,146.8192011443385,144.20284627158196,143.6907674038464,143.94680683771418,71036580.0
2026-03-12,143.94680683771418,148.96301498005056,147.72948723919217,148.34625110962136,45864712.0
2026-03-13,148.34625110962136,152.7704393488059,152.64146826839828,152.7059538086021,18140113.0
2026-03-16,152.7059538086021,153.26669146112386,152.9221561047512,153.09442378293753,28358327.0
2026-03-17,153.09442378293753,154.35799927378028,151.4964402619648,152.92721976787254,28299578.0
2026-03-18,152.92721976787254,154.69714470755903,154.56348429645672,154.63031450200788,74350548.0
2026-03-19,154.63031450200788,154.7398431667663,153.58627675434397,154.16305996055513,23859073.0
2026-03-20,154.16305996055513,154.89417757318907,153.85496949084754,154.3745735320183,24536636.0
2026-03-23,154.3745735320183,160.79474720446413,156.87245741606287,158.8336023102635,57638138.0
2026-03-24,158.8336023102635,159.7744104078469,159.4811621896313,159.6277862987391,79141179.0
2026-03-25,159.6277862987391,159.4070594031243,155.0084033594932,157.20773138130875,23670307.0
2026-03-26,157.20773138130875,153.6798787670754,153.15079133469945,153.41533505088742,18215665.0
2026-03-27,153.41533505088742,154.37340482849027,152.2368556597616,153.30513024412593,13756878.0
2026-03-30,153.30513024412593,158.97661264531467,153.78055281185158,156.37858272858313,8469723.0
2026-03-31,156.37858272858313,159.95922098183482,159.5959588603703,159.77758992110256,58434193.0
2026-04-01,159.77758992110256,160.04668856953762,157.6060275849712,158.8263580772544,54584289.0
2026-04-02,158.8263580772544,157.38297448013304,150.95242547756266,154.16769997884785,2344126.0
2026-04-03,154.16769997884785,157.04459354358644,154.55446585478106,155.79952969918375,49816341.0
2026-04-06,155.79952969918375,157.27534604233276,155.9481087592154,156.61172740077407,18525823.0
2026-04-07,156.61172740077407,157.21060197767216,153.59785020676944,155.4042260922208,29571338.0
2026-04-08,155.4042260922208,156.4825278913618,155.43183583467876,155.95718186302028,23884601.0
2026-04-09,155.95718186302028,160.33308711479535,154.95404161340096,157.64356436409815,60406092.0
2026-04-10,157.64356436409815,165.85211607687816,163.93933663792004,164.8957263573991,13301119.0
2026-04-13,164.8957263573991,166.46359474566518,163.76462914927995,165.11411194747257,7939334.0
2026-04-14,165.11411194747257,166.0639767058382,165.78622409957987,165.92510040270903,5330922.0
2026-04-15,165.92510040270903,170.41399179189858,164.18162699138503,167.2978093916418,52007246.0
2026-04-16,167.2978093916418,169.69365518321177,167.34476711167088,168.51921114744133,64022454.0
2026-04-17,168.51921114744133,178.11364043940628,175.35691418736988,176.73527731338808,16693325.0
2026-04-20,176.73527731338808,174.01191322871733,169.5792259063083,171.7955695675128,51359781.0
2026-04-21,171.7955695675128,174.2670739934772,169.22510059922126,171.74608729634923,12854520.0
2026-04-22,171.74608729634923,177.13836762188885,170.6295674538108,173.88396753784983,45965824.0
2026-04-23,173.88396753784983,174.7496427045154,172.14055678927696,173.44509974689618,78351077.0
2026-04-24,173.44509974689618,178.04245779043077,172.66996759945562,175.3562126949432,15925413.0
2026-04-27,175.3562126949432,172.5773595165088,167.55751781860135,170.06743866755508,79870420.0
2026-04-28,170.06743866755508,169.16583505134273,168.64964853335155,168.90774179234714,20093039.0
2026-04-29,168.90774179234714,169.17847801069172,168.77059963466797,168.97453882267985,72542236.0
2026-04-30,168.97453882267985,177.05140565444592,173.98374977838623,175.51757771641607,36325124.0
2026-05-01,175.51757771641607,175.6133672151453,171.66516908498053,173.63926815006292,24644720.0
2026-05-04,173.63926815006292,171.6170519869043,170.07228285894064,170.84466742292247,23609307.0
2026-05-05,170.84466742292247,168.3835477829284,166.56262170146036,167.47308474219437,36228244.0
2026-05-06,167.47308474219437,173.23077661237886,169.2705439280781,171.25066027022848,30735942.0
2026-05-07,171.25066027022848,174.0771409165705,172.54352221520372,173.3103315658871,9797698.0
2026-05-08,173.3103315658871,171.41842058476615,170.98702135798223,171.2027209713742,8982252.0
2026-05-11,171.2027209713742,172.92439615605812,168.71287901592981,170.81863758599397,62078382.0
2026-05-12,170.81863758599397,179.14611532657725,174.45227520912468,176.79919526785096,39371474.0
2026-05-13,176.79919526785096,174.23787521438402,174.0260043613,174.13193978784201,73648034.0
2026-05-14,174.13193978784201,175.37837311127697,173.17708408660496,174.27772859894097,36091076.0
2026-05-15,174.27772859894097,178.78016464059132,176.4712864527178,177.62572554665456,36206848.0
2026-05-18,177.62572554665456,169.75950668476568,165.31449190251018,167.53699929363793,26938778.0
2026-05-19,167.53699929363793,168.02736451066795,165.49459445093044,166.7609794807992,66448823.0
2026-05-20,166.7609794807992,168.29059072434714,166.1654673330123,167.2280290286797,20484758.0
2026-05-21,167.2280290286797,168.96683994264183,168.89065357848588,168.92874676056385,22969112.0
