,Open,High,Low,Close,Volume
2026-01-05,65.0,65.3044764314466,64.6955235685534,65.0,41767847.0
2026-01-06,65.0,66.16624353222868,65.96740275485435,66.06682314354151,46510415.0
2026-01-07,66.06682314354151,65.8107990810805,65.7220576461021,65.7664283635913,68875180.0
2026-01-08,65.7664283635913,65.65204821900258,65.43322055515827,65.54263438708043,51794246.0
2026-01-09,65.54263438708043,66.10238916395079,65.90803793041604,66.00521354718342,10567962.0
2026-01-12,66.00521354718342,65.83733596456175,65.19378425515514,65.51556010985844,24636109.0
2026-01-13,65.51556010985844,65.19753550797188,64.90487590773384,65.05120570785286,12806349.0
2026-01-14,65.05120570785286,65.7741047898754,64.93445226540757,65.35427852764148,58022560.0
2026-01-15,65.35427852764148,65.475318597284,65.32496985970926,65.40014422849663,42495982.0
2026-01-16,65.40014422849663,65.0256235197387,64.99396136970836,65.00979244472353,59947555.0
2026-01-19,65.00979244472353,65.4739804132669,65.31017865315044,65.39207953320867,8631430.0
2026-01-20,65.39207953320867,65.56760544111454,64.69744268538186,65.1325240632482,64506143.0
2026-01-21,65.1325240632482,65.13759427580658,64.79585027674048,64.96672227627353,79579686.0
2026-01-22,64.96672227627353,65.54584666080721,65.16048152767159,65.3531640942394,11951767.0
2026-01-23,65.3531640942394,64.65204024666373,64.39240577686012,64.52222301176192,11373551.0
2026-01-26,64.52222301176192,63.91214456873334,63.90108900821431,63.906616788473826,44298471.0
2026-01-27,63.906616788473826,64.1615365860752,63.567961627986065,63.86474910703063,68346710.0
2026-01-28,63.86474910703063,63.030248119897706,63.0225645905747,63.026406355236205,17164469.0
2026-01-29,63.026406355236205,62.806295668184006,62.223804076868745,62.515049872526376,52346789.0
2026-01-30,62.515049872526376,62.380541103879146,62.3284648845866,62.354502994232874,46860239.0
2026-02-02,62.354502994232874,62.11888327825466,62.01821479646891,62.068549037361784,46758303.0
2026-02-03,62.068549037361784,63.27472070019605,63.062105853914154,63.1684132770551,72891564.0
2026-02-04,63.1684132770551,63.336173994612146,63.027132986969995,63.18165349079107,14872508.0
2026-02-05,63.18165349079107,63.620006260107374,63.33596300158047,63.47798463084392,72670533.0
2026-02-06,63.47798463084392,63.30899910525862,62.67393552966155,62.991467317460085,54024800.0
2026-02-09,62.991467317460085,63.269628323226684,62.604653741880966,62.937141032553825,21114315.0
2026-02-10,62.937141032553825,63.52780925284809,63.439500413765174,63.48365483330663,9155738.0
2026-02-11,63.48365483330663,62.556168844877995,62.552208257159144,62.55418855101857,37499173.0
2026-02-12,62.55418855101857,63.01475877735963,62.66026573730046,62.83751225733005,51547581.0
2026-02-13,62.83751225733005,63.46377224518399,63.087218850743454,63.27549554796372,28049918.0
2026-02-16,63.27549554796372,63.43988230854476,63.16266333025427,63.301272819399514,46607852.0
2026-02-17,63.301272819399514,63.69650183737937,63.51539442597962,63.6059481316795,47657190.0
2026-02-18,63.6059481316795,64.32718731487174,63.87236899520223,64.09977815503699,15178358.0
2026-02-19,64.09977815503699,64.2018257775624,64.06112884496439,64.1314773112634,50068428.0
2026-02-20,64.1314773112634,63.942734229286906,63.713449121722626,63.828091675504766,75113191.0
2026-02-23,63.828091675504766,63.75974735378186,63.29544357537441,63.527595464578134,61901853.0
2026-02-24,63.527595464578134,62.916927347783954,62.76036274488632,62.83864504633514,10962292.0
2026-02-25,62.83864504633514,62.88057416224513,62.417189315804016,62.648881739024574,78916528.0
2026-02-26,62.648881739024574,62.42634955896778,62.11720945804394,62.27177950850586,38732072.0
2026-02-27,62.27177950850586,62.212600275618655,62.02307924138201,62.11783975850033,49242867.0
2026-03-02,62.11783975850033,62.4416853633183,62.18940591517597,62.315545639247134,78011148.0
2026-03-03,62.315545639247134,62.883427476699566,62.779959089914854,62.83169328330721,44433953.0
2026-03-04,62.83169328330721,63.167500193729865,62.60779011582531,62.88764515477759,37930236.0
2026-03-05,62.88764515477759,63.260011564099585,63.19569671707001,63.227854140584796,7550616.0
2026-03-06,63.227854140584796,63.18191173650523,63.16668403128209,63.17429788389366,7023331.0
2026-03-09,63.17429788389366,62.86768540859243,62.616961572699005,62.74232349064572,60860945.0
2026-03-10,62.74232349064572,62.50729877852782,62.442287751160386,62.4747932648441,53617449.0
2026-03-11,62.4747932648441,62.58630704041756,62.524295036276435,62.555301038347,6070161.0
